collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
partners 1st federal credit union,3,1,2,0.5%,0.3%,0.7%,30736,10087,20648,1.9%,1.9%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
pca acquisitions v llc,3,3,0,0.5%,0.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
velocity investments llc,3,3,0,0.5%,0.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
capital one na,3,3,0,0.5%,0.8%,0.0%,3224,3224,0,0.2%,0.6%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
bank of america na,2,0,2,0.3%,0.0%,0.7%,16242,0,16242,1.0%,0.0%,1.5%,50.0%,0%,50.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
lutheran musculoskeletal center llc,2,0,2,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
credit acceptance corp.,2,0,2,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
teachers credit union,2,0,2,0.3%,0.0%,0.7%,7887,0,7887,0.5%,0.0%,0.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
absolute resolutions,2,1,1,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
heritage acceptance corporation,2,1,1,0.3%,0.3%,0.3%,11477,2435,9042,0.7%,0.5%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
portfolio recovery associatesllc,2,0,2,0.3%,0.0%,0.7%,1592,0,1592,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
ag plus inc,2,0,2,0.3%,0.0%,0.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
snap-on credit llc,2,1,1,0.3%,0.3%,0.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
