collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
no plaintiff found,9,5,4,0.4%,0.5%,0.4%,0,0,0,0.0%,0.0%,0.0%,44.4%,20.0%,75.0%,0.0%,0.0%,0.0%,22.2%,0.0%,50.0%
velocity investments llc,9,9,0,0.4%,0.8%,0.0%,19906,19906,0,0.6%,1.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,22.2%,22.2%,0%
citibank na,8,2,6,0.4%,0.2%,0.6%,60288,0,60288,1.7%,0.0%,2.6%,25.0%,0.0%,33.3%,0.0%,0.0%,0.0%,75.0%,0.0%,100.0%
evansville teachers federal credit union,8,3,5,0.4%,0.3%,0.5%,17820,0,17820,0.5%,0.0%,0.8%,12.5%,0.0%,20.0%,0.0%,0.0%,0.0%,37.5%,0.0%,60.0%
absolute resolutions investments llc,8,2,6,0.4%,0.2%,0.6%,24908,12255,12653,0.7%,1.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,50.0%,66.7%
velocity investments llc assignee of prosper funding llc assignee of webbank,8,4,4,0.4%,0.4%,0.4%,17994,13683,4311,0.5%,1.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
rowdy williams law firm p.c.,8,8,0,0.4%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
barclays bank delaware,7,0,7,0.3%,0.0%,0.7%,12553,0,12553,0.4%,0.0%,0.5%,14.3%,0%,14.3%,0.0%,0%,0.0%,71.4%,0%,71.4%
second round lp,7,2,5,0.3%,0.2%,0.5%,2262,0,2262,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,60.0%
professional financial services of indiana llc,7,4,3,0.3%,0.4%,0.3%,12375,0,12375,0.4%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,25.0%,66.7%
first portfolio ventures i llc,7,3,4,0.3%,0.3%,0.4%,18358,12430,5928,0.5%,1.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,66.7%,75.0%
