collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
credit corp solutions inc,2,0,2,0.5%,0.0%,1.1%,932,0,932,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
the morris plan company of terre haute inc,2,1,1,0.5%,0.5%,0.6%,28011,13269,14742,2.3%,3.2%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
wells fargo bank na,2,1,1,0.5%,0.5%,0.6%,20569,20569,0,1.7%,5.0%,0.0%,50.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
john deere financial,2,0,2,0.5%,0.0%,1.1%,178015,0,178015,14.5%,0.0%,21.9%,100.0%,0%,100.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
velocity investments llc,2,2,0,0.5%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
don willis auto sales inc,2,2,0,0.5%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
synchrony bank,2,2,0,0.5%,1.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
resurgent receivables llc,2,2,0,0.5%,1.0%,0.0%,3494,3494,0,0.3%,0.8%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
evansville teachers federal credit,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
zeidler floral company inc,1,0,1,0.3%,0.0%,0.6%,32426,0,32426,2.6%,0.0%,4.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
professional & business collections,1,0,1,0.3%,0.0%,0.6%,16021,0,16021,1.3%,0.0%,2.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
dnf assocaites llc,1,0,1,0.3%,0.0%,0.6%,2513,0,2513,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
gateway financial solutions,1,0,1,0.3%,0.0%,0.6%,9623,0,9623,0.8%,0.0%,1.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
casey state bank,1,0,1,0.3%,0.0%,0.6%,27701,0,27701,2.3%,0.0%,3.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
porttfolio recovery associates llc,1,0,1,0.3%,0.0%,0.6%,12204,0,12204,1.0%,0.0%,1.5%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland credit managementinc,1,0,1,0.3%,0.0%,0.6%,1181,0,1181,0.1%,0.0%,0.1%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
manistee acquisitions llc,1,0,1,0.3%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
owensboro health inc d/b/a owensb,1,0,1,0.3%,0.0%,0.6%,3401,0,3401,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
medical & professional collection s,1,0,1,0.3%,0.0%,0.6%,8484,0,8484,0.7%,0.0%,1.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
